FieldGoalAttempts,ThreePointAttempts,TwoPointAttempts,EFieldGoal,PersonalFouls,Points
6.583333359824287,2.666666632311212,3.9222222699059377,0.578388887974951,1.8222221963935428,8.13333339161343
7.662500038743019,3.1875000260770316,4.481249965727329,0.5429999958723783,1.7750000022351742,9.556249901652336
7.400000081342808,3.0823529476628586,4.311764675028184,0.5201764737858492,1.8058823596905258,9.052941125981947
8.217647075653076,2.111764697905849,6.105882280013142,0.4714705926530501,1.782352931359235,9.82941185726839
7.270588201635023,2.576470538097269,4.7000000336590935,0.4936470599735485,1.5941176414489746,8.694117742426256
6.329999977350235,2.319999986886978,4.015000012516976,0.4401499986648559,1.5599999934434892,7.424999964237213
6.8823529552010925,2.7529411876902863,4.1352941604221565,0.488941176849253,1.5470588242306431,8.447058902067297
6.588888966374928,2.4333333050211268,4.161111109786564,0.5036111142900255,1.4888888796170552,7.861111190583972
6.1764706022599185,2.5705882473027004,3.617647051811218,0.43076471020193663,1.6352941393852234,7.382352828979492
6.97058824931874,2.5647058473790394,4.405882330501781,0.5551764596911037,1.85882352029576,9.117646974675797
6.744999974966049,3.460000004991888,3.2849999949336053,0.5159000054001808,1.7349999845027924,8.424999964237212
6.9294117128147805,2.1588235335314976,4.75882354554008,0.4718235310386209,1.5352941225556769,8.382352948188782
6.1777777704927646,1.9333333344095285,4.233333362473382,0.5013333352075683,1.961111108462016,7.9555555317136974
7.4368420274634115,2.594736840772001,4.863157877796574,0.4876315742731094,1.8052631820503036,9.026315733006124
6.627272746779702,2.2545454427599907,4.363636320287531,0.48013636469841,1.813636349006133,7.827272751114585
7.6,2.7333333432674407,4.873333291212718,0.4911333362261454,1.8133333245913188,8.906666692097982
7.089999914169312,3.0649999991059302,4.034999999403953,0.538649995625019,1.5749999985098841,8.975000035762786
7.600000050332812,2.5833333647913403,5.016666634215249,0.5029999994569354,1.7777777711550395,9.194444484180874
7.864705758936265,2.588235305512653,5.294117604984955,0.4980588222251219,1.8470588326454165,9.588235280093024
7.7444445159700175,2.4888888663715787,5.2500000264909525,0.4961111098527908,1.944444449411498,9.083333280351427
7.041176554034737,2.5823529415270863,4.435294137281531,0.4292941172333325,1.7941176505649792,8.23529409310397
6.524999916553497,2.300000000745058,4.23124998062849,0.5132499989122152,1.5250000022351742,7.862500011920929
7.189473704287879,2.1052631751487128,5.094736889788979,0.5116315829126459,1.8157894681943092,9.173684258210029
7.488235347411213,2.6117646935231544,4.882352951694937,0.4567647085470312,2.05294116454966,9.064705820644605
7.333333349227905,2.513333342472712,4.8066667079925525,0.5147333323955536,1.7066666603088378,9.126666601498922
7.505882403429817,2.3588235259932633,5.135294177952934,0.5052941161043504,1.7764705700032852,9.105882364160877
6.660000054041546,1.8266666794816653,4.826666700839996,0.5266000052293142,1.4933333337306975,8.319999933242798
6.749999913904403,2.6999999889069133,4.050000078976153,0.5318333357572556,1.6222222165928946,8.661111169391209
6.370588225476882,2.4294117513824918,3.9294118179994473,0.5264117700212142,1.635294107829823,8.088235234513002
6.911111046870548,2.2666666739516788,4.661111070050134,0.4919444471597672,1.7666666607062025,8.827777842680613
