FieldGoalAttempts,ThreePointAttempts,ThreePointPercent,TwoPointPercent,FreeThrowAttempts,FreeThrowPercent,Rebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls
6.583333359824287,2.666666632311212,0.3442222211096022,0.4758333332008786,1.58888887696796,0.6205000016424391,3.6999999947018094,1.688888910743925,0.5944444437821707,0.4000000067883068,1.116666661368476,1.8222221963935428
7.662500038743019,3.1875000260770316,0.3331875018775463,0.5437499936670065,1.6000000126659868,0.73887500166893,3.7249999716877937,2.1812500031664968,0.7124999975785613,0.4499999973922968,0.9249999951571226,1.7750000022351742
7.400000081342808,3.0823529476628586,0.2461176483946688,0.5452941165250891,2.0411764427142987,0.6506470547002905,3.7411764719906975,1.8764705912155264,0.5352941243087544,0.3000000044703484,1.1352941279902178,1.8058823596905258
8.217647075653076,2.111764697905849,0.29000000129727754,0.4664705886560328,1.9705882510718176,0.7011764715699589,4.0176470279693595,1.988235280794256,0.7176470625049928,0.3941176507402869,1.1882353074410383,1.782352931359235
7.270588201635023,2.576470538097269,0.2822941173525417,0.5004117576514974,1.8000000084147734,0.6794705951915068,3.45882352660684,2.0000000070123107,0.5529411812038982,0.3647058917319073,0.923529409310397,1.5941176414489746
6.329999977350235,2.319999986886978,0.2613500013947487,0.4239499926567077,1.5050000004470347,0.7089500010013581,3.4299999475479126,1.5550000056624411,0.4900000024586916,0.2000000052154064,0.9650000005960464,1.5599999934434892
6.8823529552010925,2.7529411876902863,0.29947058768833384,0.4860588242025936,2.0588234873378983,0.7213529348373413,3.617647100897397,1.9470588284380292,0.5529411855865928,0.3235294174622087,1.058823543436387,1.5470588242306431
6.588888966374928,2.4333333050211268,0.30533333702219856,0.4856666699051857,1.527777783986595,0.6512222223811679,3.149999988575777,1.9611111332972844,0.5500000007450581,0.3055555584530036,0.9777777728935084,1.4888888796170552
6.1764706022599185,2.5705882473027004,0.24270587940426436,0.4237058811327991,1.6647058856837889,0.7197647094726562,3.2176470861715427,1.6058823343585518,0.5470588294898763,0.29411765275632634,0.9294117750490412,1.6352941393852234
6.97058824931874,2.5647058473790394,0.2632941187304609,0.5451764744870803,1.6352941165952122,0.7108823551851159,3.8764705973512985,2.258823533706805,0.6176470561939127,0.5705882407286588,1.1117647149983574,1.85882352029576
